Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/20  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/20  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/20  05:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/20  06:00:00,65208953.895114,65208953.895114,4597200.,6765365.41557847,41385398.9087341 
 06/20  07:00:00,228648043.513829,228648043.513829,4597200.,5856629.61018971,41385398.9087341 
 06/20  08:00:00,179553702.735849,179553702.735849,4597200.,5472944.29535722,41385398.9087341 
 06/20  09:00:00,230904045.796888,230904045.796888,4597200.,5374497.91113249,41385398.9087341 
 06/20  10:00:00,231041444.32262,231041444.32262,4597200.,5370038.36600499,41385398.9087341 
 06/20  11:00:00,241330764.072818,241330764.072818,4597200.,5370038.36600499,41385398.9087341 
 06/20  12:00:00,262246507.316615,262246507.316616,4597200.,5370038.36600499,41385398.9087341 
 06/20  13:00:00,252653451.332756,252653451.332756,4597200.,5370038.36600499,41385398.9087341 
 06/20  14:00:00,246758364.195983,246758364.195984,4597200.,5370038.36600499,41385398.9087341 
 06/20  15:00:00,223418773.238249,223418773.238249,4597200.,5370038.36600499,41385398.9087341 
 06/20  16:00:00,237663515.354732,237663515.354732,4597200.,5370038.36600499,41385398.9087341 
 06/20  17:00:00,193185022.506402,193185022.506402,4597200.,5397606.79683151,41385398.9087341 
 06/20  18:00:00,196594704.211495,196594704.211495,4597200.,6476807.42447156,33399901.5013581 
 06/20  19:00:00,190477032.067472,190477032.067472,4597200.,7451718.63056483,33399901.5013581 
 06/20  20:00:00,206847248.544001,206847248.544001,4597200.,7915463.67251136,33399901.5013581 
 06/20  21:00:00,198386588.905161,198386588.905161,4597200.,7915463.67251136,33399901.5013581 
 06/20  22:00:00,198343528.864458,198343528.864458,4597200.,7915463.67251136,33399901.5013581 
 06/20  23:00:00,94399254.891782,94399254.891782,4597200.,7915463.67251136,33399901.5013581 
 06/20  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/21  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/21  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/21  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/21  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/21  05:00:00,80259352.3606098,80259352.3606098,4597200.,15830927.3450227,44533202.0018108 
 06/21  06:00:00,294968341.479377,294968341.479378,4597200.,13562140.0815457,55180531.8783121 
 06/21  07:00:00,323228239.812787,323228239.812787,4597200.,35508292.6714929,95796493.4167736 
 06/21  08:00:00,515508674.796575,515508674.796575,4597200.,98530633.8743563,204227663.75917 
 06/21  09:00:00,491740340.312608,491740340.312608,4597200.,96660690.5880896,174055806.616312 
 06/21  10:00:00,490858365.534903,490858365.534903,4597200.,96660690.5880896,167093070.352576 
 06/21  11:00:00,520875561.248285,520875561.248285,4597200.,96660690.5880896,174055806.616312 
 06/21  12:00:00,533105152.68625,533105152.68625,13533247.1891424,96660690.5880896,177667514.306075 
 06/21  13:00:00,561499815.780782,561499815.780782,13991271.1779974,96660690.5880896,179858086.836092 
 06/21  14:00:00,542123845.440148,542123845.440148,12605222.7790181,96660690.5880896,167093070.352576 
 06/21  15:00:00,525717515.22406,525717515.22406,13027561.8629095,96946677.6787933,167093070.352576 
 06/21  16:00:00,512733710.75166,512733710.75166,13252578.1590347,97006885.4873624,177537174.74818 
 06/21  17:00:00,396969942.51465,396969942.51465,8744091.91262989,55446390.6762731,140923939.573165 
 06/21  18:00:00,298274851.666194,298274851.666194,5939400.54480923,33348024.814977,69106004.4057847 
 06/21  19:00:00,288934649.065584,288934649.065584,7333995.15479862,37162717.8498216,59822356.0541363 
 06/21  20:00:00,293839499.960556,293839499.960556,4597200.,27263139.374404,59822356.0541363 
 06/21  21:00:00,292384092.904578,292384092.904578,4597200.,27302827.8427063,55180531.8783121 
 06/21  22:00:00,206356920.097845,206356920.097845,4597200.,13651413.9213531,55180531.8783121 
 06/21  23:00:00,137092168.25335,137092168.25335,4597200.,6825706.96067657,55180531.8783121 
 06/21  24:00:00,72339991.872542,72339991.872542,4597200.,7915463.67251136,44533202.0018108 
 06/22  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/22  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/22  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/22  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251136,44533202.0018108 
 06/22  05:00:00,80259352.3606098,80259352.3606098,4597200.,15830927.3450227,44533202.0018108 
 06/22  06:00:00,302081669.368771,302081669.368771,4597200.,13392006.992601,55180531.8783121 
 06/22  07:00:00,333790084.114233,333790084.114233,4597200.,33659700.4396849,95796493.4167736 
 06/22  08:00:00,532521640.039383,532521640.039383,4597200.,97066556.8123547,204227663.75917 
 06/22  09:00:00,482909918.803263,482909918.803263,4597200.,97112219.5322493,174055806.616312 
 06/22  10:00:00,457985116.065264,457985116.065264,8872930.96535438,96791132.283069,167093070.352576 
 06/22  11:00:00,477177030.060304,477177030.060304,13314093.7329503,96660690.5880896,174055806.616312 
 06/22  12:00:00,479131433.978231,479131433.978231,18000663.142006,96660690.5880896,177667514.306075 
 06/22  13:00:00,499235561.097191,499235561.097191,17899860.7410155,96660690.5880896,179858086.836092 
 06/22  14:00:00,507380473.16992,507380473.16992,9623715.26947799,96660690.5880896,167093070.352576 
 06/22  15:00:00,533829651.8084,533829651.8084,12229925.6180324,96660690.5880896,167093070.352576 
 06/22  16:00:00,562264958.065371,562264958.065371,13252086.5038681,96660690.5880896,177537174.74818 
 06/22  17:00:00,478308044.005747,478308044.005747,8745010.80267067,53700383.6600499,140923939.573165 
