Time,TSupCor.T,flo.temAirPer5.T,VSupCor_flow.V_flow
3290,293.15,292.978,-1.27803e-012
3290,293.15,292.978,-1.27803e-012
3300,293.15,292.978,7.66818e-012
3300,293.15,292.978,7.66818e-012
3310,293.15,292.978,0
3310,293.15,292.978,0
3320,293.15,292.978,-1.27803e-012
3320,293.15,292.978,-1.27803e-012
3330,293.15,292.978,1.27803e-012
3330,293.15,292.978,1.27803e-012
3340,293.15,292.978,-1.27803e-012
3340,293.15,292.978,-1.27803e-012
3350,293.15,292.978,0
3350,293.15,292.978,0
3360,293.15,292.978,-1.27803e-012
3360,293.15,292.978,-1.27803e-012
3370,293.15,292.978,1.27803e-012
3370,293.15,292.978,1.27803e-012
3380,293.15,292.978,-1.27803e-012
3380,293.15,292.978,-1.27803e-012
3390,293.15,292.978,0
3390,293.15,292.978,0
3400,293.15,292.978,1.27803e-012
3400,293.15,292.978,1.27803e-012
3410,293.15,292.978,3.83409e-012
3410,293.15,292.978,3.83409e-012
3420,293.15,292.978,1.27803e-012
3420,293.15,292.978,1.27803e-012
3430,293.15,292.978,3.83409e-012
3430,293.15,292.978,3.83409e-012
3440,293.15,292.978,-2.55606e-012
3440,293.15,292.978,-2.55606e-012
3450,293.15,292.978,0
3450,293.15,292.978,0
3460,293.15,292.977,0
3460,293.15,292.977,0
3470,293.15,292.977,-1.27803e-012
3470,293.15,292.977,-1.27803e-012
3480,293.15,292.977,1.27803e-012
3480,293.15,292.977,1.27803e-012
3490,293.15,292.977,-1.27803e-012
3490,293.15,292.977,-1.27803e-012
3500,293.15,292.977,0
3500,293.15,292.977,0
3510,293.15,292.977,0
3510,293.15,292.977,0
3520,293.15,292.977,3.83409e-012
3520,293.15,292.977,3.83409e-012
3530,293.15,292.977,0
3530,293.15,292.977,0
3540,293.15,292.977,1.27803e-012
3540,293.15,292.977,1.27803e-012
3550,293.15,292.977,0
3550,293.15,292.977,0
3560,293.15,292.977,-1.27803e-012
3560,293.15,292.977,-1.27803e-012
3570,293.15,292.977,-1.27803e-012
3570,293.15,292.977,-1.27803e-012
3580,293.15,292.977,0
3580,293.15,292.977,0
3590,293.15,292.977,0
3590,293.15,292.977,0
3600,293.15,292.977,0
3600,293.15,292.977,0
3610,293.15,292.977,1.44545e-009
3610,293.15,292.977,1.44545e-009
3620,293.15,292.977,5.916e-009
3620,293.15,292.977,5.916e-009
3630,293.15,292.977,1.3574e-008
3630,293.15,292.977,1.3574e-008
3640,293.15,292.977,2.45688e-008
3640,293.15,292.977,2.45688e-008
3650,293.15,292.977,3.90451e-008
3650,293.15,292.977,3.90451e-008
3660,293.15,292.977,5.71126e-008
3660,293.15,292.977,5.71126e-008
3670,293.15,292.977,7.88877e-008
3670,293.15,292.977,7.88877e-008
3680,293.15,292.977,1.04457e-007
3680,293.15,292.977,1.04457e-007
3690,293.15,292.977,1.339e-007
3690,293.15,292.977,1.339e-007
3700,293.15,292.977,1.67323e-007
3700,293.15,292.977,1.67323e-007
3710,293.15,292.977,2.04711e-007
3710,293.15,292.977,2.04711e-007
3720,293.15,292.976,2.46262e-007
3720,293.15,292.976,2.46262e-007
3730,293.15,292.976,2.92086e-007
3730,293.15,292.976,2.92086e-007
3740,293.15,292.976,3.4237e-007
3740,293.15,292.976,3.4237e-007
3750,293.15,292.976,3.97392e-007
3750,293.15,292.976,3.97392e-007
3760,293.15,292.976,4.57532e-007
3760,293.15,292.976,4.57532e-007
3770,293.15,292.976,5.23271e-007
3770,293.15,292.976,5.23271e-007
3780,293.15,292.976,5.94532e-007
3780,293.15,292.976,5.94532e-007
3790,293.15,292.976,6.71279e-007
3790,293.15,292.976,6.71279e-007
3800,293.15,292.976,7.53681e-007
3800,293.15,292.976,7.53681e-007
3810,293.15,292.976,8.41905e-007
3810,293.15,292.976,8.41905e-007
3820,293.15,292.976,9.36131e-007
3820,293.15,292.976,9.36131e-007
3830,293.15,292.976,1.03653e-006
3830,293.15,292.976,1.03653e-006
3840,293.15,292.976,1.14328e-006
3840,293.15,292.976,1.14328e-006
3850,293.15,292.976,1.25657e-006
3850,293.15,292.976,1.25657e-006
3860,293.15,292.976,1.37655e-006
3860,293.15,292.976,1.37655e-006
3870,293.15,292.976,1.50343e-006
3870,293.15,292.976,1.50343e-006
3880,293.15,292.976,1.63737e-006
3880,293.15,292.976,1.63737e-006
3890,293.15,292.976,1.77855e-006
3890,293.15,292.976,1.77855e-006
3900,293.15,292.975,1.92715e-006
3900,293.15,292.975,1.92715e-006
3910,293.15,292.975,2.08333e-006
3910,293.15,292.975,2.08333e-006
3920,293.15,292.975,2.24728e-006
3920,293.15,292.975,2.24728e-006
3930,293.15,292.975,2.41913e-006
3930,293.15,292.975,2.41913e-006
3940,293.15,292.975,2.59907e-006
3940,293.15,292.975,2.59907e-006
3950,293.15,292.975,2.78722e-006
3950,293.15,292.975,2.78722e-006
3960,293.15,292.975,2.98374e-006
3960,293.15,292.975,2.98374e-006
3970,293.15,292.975,3.18874e-006
3970,293.15,292.975,3.18874e-006
3980,293.15,292.975,3.40235e-006
3980,293.15,292.975,3.40235e-006
3990,293.15,292.975,3.62466e-006
3990,293.15,292.975,3.62466e-006
4000,293.15,292.975,3.85575e-006
4000,293.15,292.975,3.85575e-006
4010,293.15,292.975,4.09572e-006
4010,293.15,292.975,4.09572e-006
4020,293.15,292.975,4.34458e-006
