Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  16:00:00,716244834.062572,716244834.062572,15504678.1630395,119991185.404671,224813060.552967 
 07/21  17:00:00,707009693.571166,707009693.571166,20287941.4828367,119991185.404671,224813060.552967 
 07/21  18:00:00,684531473.475569,684531473.475568,11064810.2978257,119991185.404671,224813060.552967 
 07/21  19:00:00,650561420.076409,650561420.076409,11004793.7254545,120994448.161721,224813060.552967 
 07/21  20:00:00,637669398.113793,637669398.113793,6791184.,146537977.733559,224813060.552967 
 07/21  21:00:00,649473382.6163,649473382.6163,10911150.5612876,152517470.754275,224813060.552967 
 07/21  22:00:00,666730236.172618,666730236.172618,6791184.,152517470.754275,224813060.552967 
 07/21  23:00:00,461376628.557063,461376628.557063,6791184.,152517470.754275,224813060.552967 
 07/21  24:00:00,471187116.481998,471187116.481998,6791184.,152517470.754275,224813060.552967 
 01/01  01:00:00,93986808.3508502,93986808.3508502,15397383.3132636,3861201.79133858,33399901.5013581 
 01/01  02:00:00,84031085.1324227,84031085.1324227,14969993.4840189,3861201.79133858,33399901.5013581 
 01/01  03:00:00,74076474.6549582,74076474.6549582,12263857.8419105,3861201.79133858,33399901.5013581 
 01/01  04:00:00,86381920.5914761,86381920.5914761,14983677.1009109,3861201.79133858,33399901.5013581 
 01/01  05:00:00,79260156.4125715,79260156.4125715,14152047.9728018,3861201.79133858,33399901.5013581 
 01/01  06:00:00,69496128.459089,69496128.4590889,11840885.9901037,3861201.79133858,33399901.5013581 
 01/01  07:00:00,102316899.134116,102316899.134116,14902558.6407756,5897289.92828448,41385398.9087341 
 01/01  08:00:00,93323533.0972825,93323533.0972825,14251651.0026778,6533137.6626078,41385398.9087341 
 01/01  09:00:00,69959575.4051112,69959575.4051112,12062589.2942888,5776264.95971396,41385398.9087341 
 01/01  10:00:00,73132152.9080088,73132152.9080088,14178774.181721,5251502.9794302,41385398.9087341 
 01/01  11:00:00,69537781.4999942,69537781.4999942,12127322.1367093,5211428.96900915,41385398.9087341 
 01/01  12:00:00,58601854.4237488,58601854.4237488,9926725.4793571,5173573.54743972,41385398.9087341 
 01/01  13:00:00,63064269.6824565,63064269.6824565,10162763.0990758,5173573.54743972,41385398.9087341 
 01/01  14:00:00,57278632.3742387,57278632.3742387,8743412.64974653,5176754.90960706,41385398.9087341 
 01/01  15:00:00,54741011.7946623,54741011.7946623,7891761.53037006,5223834.28591898,41385398.9087341 
 01/01  16:00:00,61395582.8349354,61395582.8349354,8872969.1552942,5359878.97289199,41385398.9087341 
 01/01  17:00:00,80105221.6746134,80105221.6746134,9527802.22844673,6308914.86121663,41385398.9087341 
 01/01  18:00:00,92941914.2211884,92941914.2211884,9538380.93663705,6575985.97393312,41385398.9087341 
 01/01  19:00:00,99685099.8955527,99685099.8955526,13060617.3678682,4802369.72793237,33399901.5013581 
 01/01  20:00:00,88703852.0202506,88703852.0202506,13775966.3102588,3861201.79133858,33399901.5013581 
 01/01  21:00:00,85238835.8247337,85238835.8247337,11940039.3427416,3861201.79133858,33399901.5013581 
 01/01  22:00:00,95930511.560027,95930511.560027,14974314.2936095,3861201.79133858,33399901.5013581 
 01/01  23:00:00,95524957.1405234,95524957.1405234,14734369.61855,3861201.79133858,33399901.5013581 
 01/01  24:00:00,95945843.1375992,95945843.1375992,13094672.221693,3861201.79133858,33399901.5013581 
 01/02  01:00:00,110738307.293291,110738307.293291,16361272.1655339,3861201.79133858,44533202.0018108 
 01/02  02:00:00,109275376.634332,109275376.634332,15954544.6662263,3861201.79133858,44533202.0018108 
 01/02  03:00:00,105006289.0521,105006289.0521,13212540.1126764,3861201.79133858,44533202.0018108 
 01/02  04:00:00,118474039.285568,118474039.285568,17101871.6382809,3861201.79133858,44533202.0018108 
 01/02  05:00:00,108609231.266297,108609231.266297,16610950.3250286,3861201.79133858,44533202.0018108 
 01/02  06:00:00,246416980.762657,246416980.762657,11001289.8557162,3861201.79133858,44533202.0018108 
 01/02  07:00:00,608074093.838315,608074093.838315,7740624.33866271,10829279.4087343,55180531.8783121 
 01/02  08:00:00,697024359.243204,697024359.243204,171824872.344126,39198825.9756468,95796493.4167736 
 01/02  09:00:00,658263773.383181,658263773.383181,169310548.486966,103972769.274851,204227663.759169 
 01/02  10:00:00,554215706.282599,554215706.282599,161697269.031211,94548069.7274163,174055806.616312 
 01/02  11:00:00,501364420.004136,501364420.004136,157027041.909726,93181588.3729271,167093070.352576 
 01/02  12:00:00,470551774.877684,470551774.877684,167921074.012869,93124323.8539151,174055806.616312 
 01/02  13:00:00,499348439.839883,499348439.839883,164415707.1396,93124323.8539151,177667514.306075 
 01/02  14:00:00,439769003.178029,439769003.178029,167804101.530559,93124323.8539151,179858086.836092 
 01/02  15:00:00,411250560.445618,411250560.445618,155367290.354948,94029017.1465418,167093070.352576 
