Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/14  19:00:00,107690882.28561947,107690882.28561947,6791184.0,4365084.681171408,33399901.5013581 
 07/14  20:00:00,40675018.91204037,40675018.912040378,6791184.0,3908985.8870141918,33399901.5013581 
 07/14  21:00:00,48904615.70955594,48904615.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  22:00:00,48904615.70955594,48904615.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  23:00:00,48904615.70955594,48904615.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/14  24:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  01:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  02:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  03:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  04:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  05:00:00,44236450.70955594,44236450.70955594,6791184.0,3861201.791338584,33399901.5013581 
 07/15  06:00:00,47391875.41440655,47391875.41440655,6791184.0,5294090.217335889,41385398.90873409 
 07/15  07:00:00,47336693.1536984,47336693.1536984,6791184.0,5238777.530760872,41385398.90873409 
 07/15  08:00:00,47271449.28245515,47271449.28245515,6791184.0,5173573.547439723,41385398.90873409 
 07/15  09:00:00,47271447.37041931,47271447.37041931,6791184.0,5173573.547439723,41385398.90873409 
 07/15  10:00:00,47271447.37041931,47271447.37041931,6791184.0,5173573.547439723,41385398.90873409 
 07/15  11:00:00,47271447.37041931,47271447.37041931,6791184.0,5173573.547439723,41385398.90873409 
 07/15  12:00:00,53120172.47780175,53120172.47780175,6791184.0,5173573.547439723,41385398.90873409 
 07/15  13:00:00,134818502.61121673,134818502.61121673,6791184.0,5173573.547439723,41385398.90873409 
 07/15  14:00:00,129008947.4389354,129008947.4389354,6791184.0,5173573.547439723,41385398.90873409 
 07/15  15:00:00,132493264.32942346,132493264.32942346,6791184.0,5173573.547439723,41385398.90873409 
 07/15  16:00:00,127562929.49101007,127562929.49101007,6791184.0,5173573.547439723,41385398.90873409 
 07/15  17:00:00,127353587.82060352,127353587.8206035,6791184.0,5181629.809087234,41385398.90873409 
 07/15  18:00:00,65249803.417378578,65249803.417378578,6791184.0,4415886.1717499899,33399901.5013581 
 07/15  19:00:00,88678231.09063354,88678231.09063354,6791184.0,3861201.791338584,33399901.5013581 
 07/15  20:00:00,40627225.70955594,40627225.70955594,6791184.0,3861201.791338584,33399901.5013581 
 07/15  21:00:00,48904615.70955594,48904615.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  22:00:00,48904615.70955594,48904615.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  23:00:00,48904615.70955594,48904615.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/15  24:00:00,46359235.70955594,46359235.70955593,6791184.0,3861201.791338584,33399901.5013581 
 07/16  01:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/16  02:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/16  03:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/16  04:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/16  05:00:00,55487075.11373618,55487075.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/16  06:00:00,219075343.22375948,219075343.22375948,6791184.0,9253020.74516695,55180531.87831212 
 07/16  07:00:00,283452306.41783329,283452306.41783329,6791184.0,31313057.119960857,95796493.41677365 
 07/16  08:00:00,546639364.9602466,546639364.9602463,6791184.0,93124323.85391507,204227663.7591693 
 07/16  09:00:00,483696834.43102976,483696834.4310298,6791184.0,93124323.85391507,174055806.61631219 
 07/16  10:00:00,492692912.1568883,492692912.15688827,6791184.0,93124323.85391507,167093070.35257594 
 07/16  11:00:00,511912005.12154117,511912005.12154117,11377061.776413922,93124323.85391507,174055806.61631219 
 07/16  12:00:00,500425012.90757647,500425012.9075765,25854972.3138449,93124323.85391507,177667514.30607478 
 07/16  13:00:00,496969100.29143086,496969100.2914309,25646933.512470943,93124323.85391507,179858086.8360924 
 07/16  14:00:00,490540643.18740919,490540643.18740919,15527940.342618235,93124323.85391507,167093070.35257594 
 07/16  15:00:00,489108246.5751754,489108246.5751754,15510851.95533558,93124323.85391507,167093070.35257594 
 07/16  16:00:00,534290441.3006475,534290441.3006474,20384522.486750418,93124323.85391507,177537174.74818034 
 07/16  17:00:00,402838037.98650386,402838037.98650386,11045048.99599618,51735735.47439728,140923939.57316489 
 07/16  18:00:00,249347790.02094058,249347790.02094058,10982962.24419735,31041441.284638365,69106004.40578464 
 07/16  19:00:00,230454114.7160888,230454114.7160888,6791184.0,31457911.304291488,59822356.05413629 
 07/16  20:00:00,220445465.6699458,220445465.66994579,10904911.153351136,25507706.044709203,59822356.05413629 
 07/16  21:00:00,221402157.07169763,221402157.07169766,6791184.0,26303943.895732467,55180531.87831212 
 07/16  22:00:00,80271371.63626296,80271371.63626296,6791184.0,13151971.947866233,55180531.87831212 
 07/16  23:00:00,73691760.40172555,73691760.40172553,6791184.0,6575985.9739331169,55180531.87831212 
 07/16  24:00:00,58551584.40070834,58551584.40070834,6791184.0,4802369.727932371,44533202.00181078 
 07/17  01:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/17  02:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/17  03:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/17  04:00:00,57609860.11373618,57609860.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/17  05:00:00,55487075.11373618,55487075.11373618,6791184.0,3861201.791338584,44533202.00181078 
 07/17  06:00:00,213884501.37633754,213884501.37633754,6791184.0,9408468.207524278,55180531.87831212 
 07/17  07:00:00,281718605.5395365,281718605.5395364,6791184.0,31077692.08401494,95796493.41677365 
 07/17  08:00:00,539859627.5167762,539859627.5167761,6791184.0,93124323.85391507,204227663.7591693 
 07/17  09:00:00,494554643.7826161,494554643.7826161,6791184.0,93124323.85391507,174055806.61631219 
 07/17  10:00:00,461176465.1867024,461176465.1867023,6791184.0,93124323.85391507,167093070.35257594 
 07/17  11:00:00,473497909.0489949,473497909.0489949,15964716.297661826,93124323.85391507,174055806.61631219 
 07/17  12:00:00,478149534.8761158,478149534.87611588,25842574.39030246,93124323.85391507,177667514.30607478 
 07/17  13:00:00,496650182.8427135,496650182.8427136,22221163.81445293,93124323.85391507,179858086.8360924 
 07/17  14:00:00,484296341.7185728,484296341.71857276,18727120.21913523,93124323.85391507,167093070.35257594 
 07/17  15:00:00,470289856.52756419,470289856.52756407,15517535.736876719,93124323.85391507,167093070.35257594 
 07/17  16:00:00,507428063.44220629,507428063.44220629,19718889.313848474,93160577.03132886,177537174.74818034 
 07/17  17:00:00,376370481.12517288,376370481.12517288,11691315.89893007,51735735.47439728,140923939.57316489 
 07/17  18:00:00,251684020.36154977,251684020.36154977,10962640.538762154,31041441.284638365,69106004.40578464 
 07/17  19:00:00,242449867.4137054,242449867.4137054,6791184.0,31494164.481705287,59822356.05413629 
 07/17  20:00:00,222644329.3353943,222644329.3353943,6791184.0,25261248.16346054,59822356.05413629 
