Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/11  13:00:00,389271950.841645,389271950.841645,17868066.2858429,96660690.5880898,179858086.836092 
 08/11  14:00:00,379348311.856409,379348311.856409,8823352.4624264,96660690.5880898,167093070.352576 
 08/11  15:00:00,388792838.917687,388792838.917687,13007183.9113232,96660690.5880898,167093070.352576 
 08/11  16:00:00,406737368.539441,406737368.539441,13213418.4136418,96698320.4684455,177537174.74818 
 08/11  17:00:00,305735892.788551,305735892.788551,8749980.80845834,54272677.6237123,140923939.573165 
 08/11  18:00:00,193714962.06017,193714962.06017,8696051.71861915,33724580.8002684,69106004.4057846 
 08/11  19:00:00,175956864.376341,175956864.376341,4597200.,37421366.1032567,59822356.0541363 
 08/11  20:00:00,187412765.054508,187412765.054508,4597200.,27302827.8427063,59822356.0541363 
 08/11  21:00:00,180036745.915859,180036745.915859,4597200.,27302827.8427063,55180531.8783121 
 08/11  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/11  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/11  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/12  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  05:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  06:00:00,135366249.828523,135366249.828523,4597200.,13062566.4470612,55180531.8783121 
 08/12  07:00:00,164899446.64057,164899446.64057,4597200.,11116155.561255,73747828.5816088 
 08/12  08:00:00,192696504.814307,192696504.814307,4597200.,32308027.4907276,85222049.4632748 
 08/12  09:00:00,203412569.623219,203412569.623219,4597200.,32220230.1960299,93345241.7709671 
 08/12  10:00:00,203985577.926605,203985577.926605,4597200.,32220230.1960299,89863873.6390989 
 08/12  11:00:00,211914354.798343,211914354.798343,4597200.,32220230.1960299,97987065.9467912 
 08/12  12:00:00,171493587.448011,171493587.448011,4597200.,16110115.098015,72652542.3166 
 08/12  13:00:00,164758008.314132,164758008.314132,4597200.,16110115.098015,63368893.9649517 
 08/12  14:00:00,160205752.261421,160205752.261421,4597200.,16110115.098015,57566613.7451715 
 08/12  15:00:00,154735605.508827,154735605.508827,4597200.,16110115.098015,52924789.5693473 
 08/12  16:00:00,155157891.545502,155157891.545502,4597200.,16110115.098015,54085245.6133033 
 08/12  17:00:00,131566543.637231,131566543.637231,4597200.,5378400.56163959,48348135.1724704 
 08/12  18:00:00,71293489.2404087,71293489.2404087,4597200.,5501590.18484639,41385398.9087341 
 08/12  19:00:00,41507964.7238779,41507964.7238779,4597200.,7228226.26896246,33399901.5013581 
 08/12  20:00:00,71353746.7195903,71353746.7195903,4597200.,7915463.67251137,33399901.5013581 
 08/12  21:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  22:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  23:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/12  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/13  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
